,Feature name,Decision Tree,XGBoost
254,x4_Arnage,2.3712571702289013e-06,0.0
773,x4_Outlander,2.3329894455057397e-06,0.0
308,x4_Bronco,2.3041602053097073e-06,0.0
479,x4_EcoSport,2.2697854660184508e-06,0.0
1168,x4_up!,2.250422421087776e-06,0.0
512,x4_FJ,2.243933943437336e-06,0.0
1115,x4_XC 70,2.2304384641005035e-06,0.0
1085,x4_W123,2.225618695228466e-06,0.0
488,x4_Enyaq,2.224780391062459e-06,0.0
1007,x4_Taycan,2.1381314371853794e-06,0.0
845,x4_RC,2.13227283203606e-06,0.0
436,x4_DS 3 Crossback,2.092838665606393e-06,0.0
716,x4_MX-5,2.078824023035067e-06,0.0
604,x4_ID.4,2.06043788352154e-06,0.0
146,x4_300C,2.0485818101869385e-06,0.0
1159,x4_i40,2.0435377955901922e-06,0.0
524,x4_Flex,2.0411418287373667e-06,0.0
765,x4_ONE,2.0331786063299074e-06,0.0
362,x4_Camaro,2.017605828919554e-06,0.0
564,x4_Genesis Coupe,1.96695053717276e-06,0.0
869,x4_Renegade,1.887880186843345e-06,0.0
326,x4_C4 Grand Picasso,1.8458575176800935e-06,0.0
459,x4_Doblo,1.8268455202040786e-06,0.0
730,x4_Meriva,1.8246548418366435e-06,0.0
785,x4_Passat CC,1.7925999521376285e-06,0.0
894,x4_S80,1.7796886258422964e-06,0.0
776,x4_Pacifica,1.7577718275682908e-06,0.0
